iter	Passed	Remaining
0	342	342177
1	480	239544
2	634	210926
3	846	210705
4	1010	201000
5	1163	192803
6	1320	187378
7	1423	176548
8	1502	165460
9	1556	154133
10	1624	146088
11	1719	141561
12	1830	138971
13	1896	133562
14	1985	130379
15	2043	125654
16	2099	121415
17	2172	118498
18	2238	115552
19	2298	112606
20	2350	109582
21	2393	106385
22	2472	105008
23	2560	104119
24	2598	101339
25	2640	98914
26	2691	96997
27	2726	94636
28	2760	92417
29	2799	90511
30	2835	88628
31	2873	86934
32	3008	88166
33	3113	88453
34	3207	88430
35	3256	87195
36	3299	85882
37	3356	84959
38	3494	86104
39	3540	84972
40	3585	83866
41	3676	83850
42	3733	83086
43	3781	82152
44	3816	80993
45	3865	80166
46	3906	79215
47	4024	79826
48	4120	79977
49	4217	80124
50	4285	79746
51	4336	79065
52	4382	78302
53	4418	77399
54	4464	76702
55	4506	75969
56	4554	75355
57	4608	74855
58	4658	74300
59	4713	73845
60	4765	73364
61	4818	72900
62	4864	72345
63	4902	71699
64	4983	71681
65	5049	71456
66	5118	71274
67	5169	70856
68	5218	70410
69	5257	69856
70	5303	69399
71	5379	69337
72	5440	69090
73	5485	68645
74	5532	68229
75	5570	67731
76	5619	67365
77	5661	66917
78	5699	66447
79	5741	66022
80	5820	66034
81	5908	66149
82	5955	65796
83	6003	65462
84	6044	65071
85	6087	64698
86	6127	64301
87	6178	64028
88	6226	63738
89	6267	63371
90	6314	63079
91	6347	62644
92	6378	62206
93	6415	61831
94	6452	61465
95	6488	61104
96	6526	60756
97	6557	60359
98	6594	60013
99	6630	59676
100	6667	59347
101	6703	59016
102	6743	58725
103	6775	58377
104	6808	58033
105	6846	57745
106	6878	57410
107	6914	57111
108	6950	56817
109	6986	56526
110	7021	56233
111	7054	55932
112	7088	55642
113	7126	55388
114	7162	55122
115	7198	54855
116	7230	54570
117	7268	54330
118	7303	54071
119	7339	53824
120	7373	53567
121	7408	53314
122	7441	53058
123	7473	52798
124	7508	52557
125	7547	52350
126	7596	52216
127	7638	52037
128	7674	51818
129	7712	51611
130	7747	51394
131	7780	51159
132	7816	50951
133	7848	50725
134	7882	50508
135	7917	50299
136	7950	50082
137	7984	49877
138	8027	49726
139	8060	49512
140	8094	49313
141	8128	49113
142	8164	48929
143	8201	48754
144	8237	48570
145	8272	48388
146	8313	48242
147	8348	48059
148	8383	47883
149	8418	47703
150	8451	47517
151	8492	47377
152	8529	47217
153	8563	47045
154	8596	46864
155	8631	46700
156	8668	46542
157	8703	46380
158	8738	46219
159	8772	46055
160	8815	45941
161	8857	45819
162	8929	45850
163	8974	45749
164	9019	45645
165	9056	45502
166	9091	45350
167	9126	45196
168	9163	45058
169	9202	44929
170	9243	44813
171	9294	44743
172	9344	44671
173	9384	44548
174	9425	44436
175	9464	44312
176	9500	44174
177	9534	44030
178	9568	43888
179	9597	43722
180	9625	43555
181	9657	43407
182	9696	43289
183	9756	43269
184	9802	43185
185	9861	43158
186	9915	43109
187	9963	43035
188	10020	42996
189	10064	42904
190	10100	42779
191	10139	42668
192	10173	42540
193	10217	42448
194	10256	42339
195	10292	42219
196	10327	42094
197	10366	41990
198	10425	41962
199	10465	41860
200	10545	41919
201	10637	42025
202	10713	42060
203	10761	41992
204	10841	42045
205	10884	41952
206	10943	41922
207	10978	41803
208	11014	41686
209	11063	41618
210	11099	41504
211	11161	41486
212	11211	41425
213	11256	41345
214	11300	41261
215	11342	41168
216	11396	41120
217	11437	41029
218	11492	40983
219	11542	40924
220	11583	40831
221	11624	40736
222	11673	40674
223	11723	40613
224	11761	40512
225	11811	40452
226	11850	40355
227	11918	40355
228	11992	40376
229	12037	40298
230	12093	40260
231	12242	40526
232	12382	40760
233	12435	40707
234	12469	40592
235	12507	40491
236	12546	40392
237	12592	40316
238	12636	40235
239	12678	40148
240	12721	40064
241	12762	39974
242	12812	39912
243	12858	39839
244	12897	39743
245	12934	39643
246	12970	39540
247	13014	39464
248	13047	39352
249	13081	39245
250	13116	39141
251	13157	39055
252	13206	38994
253	13254	38929
254	13304	38869
255	13345	38785
256	13388	38707
257	13441	38658
258	13476	38556
259	13510	38452
260	13545	38352
261	13579	38249
262	13613	38149
263	13650	38055
264	13687	37964
265	13722	37865
266	13764	37787
267	13800	37694
268	13832	37590
269	13870	37501
270	13904	37403
271	13936	37301
272	13974	37215
273	14015	37137
274	14050	37042
275	14085	36949
276	14120	36855
277	14160	36776
278	14202	36703
279	14252	36650
280	14309	36612
281	14343	36520
282	14394	36469
283	14480	36507
284	14554	36513
285	14594	36435
286	14647	36388
287	14691	36320
288	14738	36259
289	14775	36173
290	14811	36087
291	14846	35998
292	14885	35918
293	14922	35835
294	14963	35761
295	15000	35677
296	15048	35618
297	15086	35540
298	15124	35460
299	15169	35396
300	15208	35318
301	15247	35240
302	15293	35180
303	15388	35231
304	15491	35300
305	15561	35292
306	15654	35337
307	15719	35318
308	15758	35240
309	15803	35175
310	15840	35093
311	15877	35012
312	15918	34938
313	15957	34861
314	15994	34781
315	16031	34700
316	16072	34628
317	16108	34546
318	16148	34473
319	16182	34388
320	16221	34312
321	16264	34246
322	16310	34186
323	16422	34264
324	16524	34320
325	16611	34344
326	16653	34274
327	16693	34201
328	16728	34117
329	16763	34034
330	16797	33951
331	16836	33875
332	16872	33795
333	16910	33719
334	16945	33637
335	16982	33560
336	17019	33483
337	17056	33406
338	17092	33327
339	17128	33249
340	17163	33169
341	17200	33094
342	17237	33018
343	17278	32949
344	17320	32883
345	17359	32812
346	17393	32731
347	17430	32657
348	17465	32578
349	17499	32498
350	17530	32413
351	17562	32331
352	17596	32252
353	17635	32182
354	17675	32113
355	17707	32033
356	17739	31951
357	17776	31878
358	17808	31797
359	17837	31711
360	17874	31638
361	17910	31565
362	17941	31484
363	17975	31408
364	18012	31337
365	18046	31260
366	18080	31185
367	18119	31117
368	18153	31043
369	18188	30968
370	18221	30892
371	18253	30814
372	18288	30742
373	18320	30664
374	18352	30587
375	18384	30510
376	18415	30432
377	18448	30356
378	18481	30281
379	18513	30205
380	18548	30134
381	18579	30058
382	18612	29984
383	18649	29916
384	18685	29847
385	18721	29780
386	18758	29712
387	18791	29639
388	18824	29567
389	18856	29493
390	18891	29423
391	18924	29351
392	18958	29281
393	18990	29208
394	19031	29149
395	19065	29079
396	19097	29006
